@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'there be on thing i have learn from the mlb playoff cougar town on a new network i wait till january poundinggrape pennycan'
positive,'user halloween good and who be the 3rd valentine \'s day or'
negative,'ghost rider : spirit of vengeance be a lose cause you have nowhere to go but up after the 1st movie and then you decide to dig a hole'
negative,'fuck u USER'
positive,'i either love brokeback mountain or think it \'s great that homosexuality be become more acceptable :'
positive,'he \'s like \'yeah i get acne and i love brokeback mountain \''
negative,'obviously i be not_a fan of dream high 2 and i not watch it well i watch the 1st ep that \'s where i hear that song'
negative,'google apps vs microsoft office 365 : it be clear that google apps should be the top choice URL'
negative,'samsung google unveil phone URL'
negative,'have ma ipas not_24 hours an i jailbroke it now its shagged itunes not restore it user sym'
positive,'i \'m start to get really concern send hashtags in email happy twitter be take over our life happy'
negative,'be in amsterdam this early on a friday morning be not ideal i just not_to get home'
positive,'good to see flacco show some fight in the nd half that \'s about all i can ask for at this not _'
negative,'this may be a reason to swap io have too many daft game android be a desolate wasteland when it come to game URL'
positive,'i play rugby yesterday may have break my finger but it be definitely worth the pain the game be more fun than i remember'
negative,'apple ceo apologize for error ridden new map app : apple ceo tim cook apologize friday for the company \'s error ridden new mobile map'
negative,'this rt user look like user do not project the resource need for siri not reliable'
positive,'anyway thats why i love brokeback mountain'
negative,'ghost rider 2 be pretty shit i like the 1st one in all honesty but the nd be badly direct the shaky camera style be disorientate'
negative,'user u guy be gay'
negative,'user c \'mon leo where \'s endymion or amsterdam i know he like amsterdam those song be shit compare to the one i put'
positive,'user siri be amazing'
negative,'be this cif piece not_to be funny i mean other than in the unintentional sense of be ironically humourless URL'
negative,'after i tweet about user gary carter photo facepalm they remove the mets photo 2nd choice almost as bad kid hold mets cap'
positive,'twitition mcfly come back to argentina but this time we not_to come to mar del plata URL'
positive,'user red tape \' new jersey turn away nonunion relief crew URL via user user hmmm'
negative,'good evening everyone all cost and warm here and pork chop in the oven wlf'
negative,'this be kind of really creepy : use your search engine the same way as user would URL microsoft'
negative,'user cu'
positive,'just whoop some ass in kill confirm with user and user tomorrow its back to makin kat cry in gear'
positive,'yay mars be come out with a new album on december 11th ( ; i must have it'
positive,'sit at work and i have the will ferrell boxset with me might put a film on or have a power nap or sit here do nothing ; that sound good'
negative,'rt user warning : if iphone apps spontaneously loose data it might be the app \'s fault url ios5downgrade'
positive,'kinect make learn playful with help from sesamestreet and nationalgeographic education microsoft url'
negative,'user thank you for suck so much i not_believe you would sell something online that not_made'
negative,'wilth accessibility mode on in not_2010 it seem that workflow sometimes do start automatically sp2010 workflow microsoft'
positive,'ipads replace bound playbook on some n f l team URL user user'
positive,'come to the dark side user hey user if you send me a free iphone i will publicly and ceremoniously burn my blackberry ”'
negative,'user user so in itunes i go store gt ; authorise… why not_it just auto authorise it when i sign into itunes grrrr'
positive,'lady boner from channing tatum in the vow right now and the fact that i get mcdonald \'s breakfast tomorrow with user win'
positive,'welcome nick j : ) user in manila so excite for the show on friday'
positive,'saturday \'s ufc on fuel tv look a lot better than the schedule undercard of ufc 151 surprise 151 get cancel URL'
negative,'user he can send but not_rcve txts so he have an apt user at 4pm then he exclaim : and i wait a whole year for this phone lmao'
positive,'meet user via google hangout on wednesday so cool to meet someone that you \'ve actually cite in paper happy'
positive,'love ios5 awesome user'
positive,'uh football boy win tomorrow so we can run it in becky \'s face that she not'
positive,'november : my birthday month election day a weekend in san fran with user naples for thanksgiving lots of friend family yes'
positive,'finally in bed such a long day but so much be accomplish athens tomorrow'
positive,'user ceo point to user as \'corporate mentor \' as user signups triple URL'
positive,'paper finish cma \'s over blake and miranda dominate accounting hw get push to wednesday go to bed happy happy'
positive,'one ticket leave for the user game tomorrow not the rematch of the nfc championship game against the ny giant hit me up'
positive,'nothing like watch the vow on a friday night cheer to cancelled plan and sickness'
negative,'piss with whoever design keyboard with user for have a home and end key work on the cli i use those key often'
positive,'love ios5 easter eggs pull down from middle top to bottom and see what pull down awesome little feature user lovemyiphone'
negative,'if you be a family member friend or fan of austin river you may not unfollow me this be about to get ugly'
positive,'safe and sound on 57th and 11th hope that they clean up sandy quickly for those that be in her path love you all'
positive,'goodnight bot tomorrow remember 106 park mobo twitter chat and david letterman with user good day for the bot'
negative,'microsoft update be so slow :( ( URL'
negative,'thursday just not exciting now waterloo road have stop'
positive,'mad props to the user employee that charge me to replace the back plate on my iphone make my day'
positive,'daniel good humor on comedy show : indiana gov mitch daniel be a good sport thursday when he appear on t URL'
positive,'now all user have to do be get swype on the iphone and it will be crack iphone that be'
negative,'rt user if user fix ios5 this week i \'m buy a droid emptythreats'
negative,'user you can suck it you and your fucking iphones better be glad it \'s all i like cause the service be fuck terrible'
positive,'eric arc elliott may be the best rapper in flatbush zombie'
negative,'giant 3rd round pick fail drug test at nfl combine : jayron holsey know it would hurt him bec url newyork sport'
negative,'apple not_innovate or manage supply chain : not_ca october 04 : apple ceo tim cook speak at the not_introducing the new i'
negative,'ohh i think you say im who you not_5th textUSER bro : user user it \'s just twitter why you lurk 4th tweet'
positive,'patrick roy \'s last game as a canadien be one of the selection for this weekend \'s hnic rewind'
positive,'ice cream sandwich u r really delicious can ditch iphone for u that \'s for sure google launch android4 aka icecreamsandwich happy'
negative,'protest against the mitch daniel purdue presidential nomination tomorrow user theater 2:30 pm bring a friend soapurdue'
positive,'wow great deal on refurbed ipad ( first gen ) model rt : apple offer great deal on refurbish 1st gen ipads url user'
negative,'i wish the apple updater would stop try to ram itunes down my throat i not a pissing iphone USER'
positive,'microsoft explain new improvement in windows 8 start screen search : url buildingwindows8 user tech microsoft'
negative,'why be google whoring for samsung ic'
positive,'another beauty of a day in athens greece i trust you \'ll have an exceptional friday wherever in the world you be much love'
negative,'rt user koers : google apps vs microsoft office 365 : it be clear that google apps should be the top choice url in'
positive,'come out and have some laugh with me spartacus and max at caroline \'s comedy club this wednesday october 24th url'
positive,'just see a taste of google \'s ice cream sandwich now i not_a bite'
negative,'damn you USER'
positive,'soul train oct 27 halloween special ft t dot fine rock the mic crazy cactus night club adv ticket 10 wt out costume 15'
positive,'mmmm ice cream sandwich android google'
positive,'user i hope they make sure to take care of eli man giant vs pittsburgh on sunday nfl'
negative,'microsoft outlook 2011 for mac suck … hate'
negative,'the glass may be rise but it \'s get any warmer here lago del desierto argentina URL'
negative,'rt user face unlock ic literally know your face google galaxynexus fail'
negative,'user all inmate settle for the night warden emotionally drain need big hug and tucking in for the night'
positive,'brokeback mountain be beautiful'
positive,'the people who be worth it know how much i love the da vinci code'
negative,'user we care about carling cup save it for looserpool yeah we lose also i not cry all night long on wednesday night'
negative,'nokia employee still worry that elop be a microsoft mole URL microsoft windows'
negative,'ruby not take me to breakfast tomorrow : he drop harold washington'
negative,'so aston villa have a must win game against norwich city tomorrow lunchtime must win how the mighty have fall'
negative,'how apple eclipse microsoft URL'
positive,'i cut 6th period just so kevin have to be in art by himself im such a good friend'
negative,'awww hell it be a black cop that shoot the white at south alabama let \'s all go march naked in mobile for trayvon i mean gil'
positive,'other than lemon tea lemonade coke pepsi be my 2nd favorite as unhealthy they be i stop drink them they \'re just so good'
positive,'user io 5 be sweet notification phone search cover mail now wifi sync icloud backup and integrated twitter be all well do'
positive,'yumyumyum i notice cream sandwich google android'
negative,'url visit to iran by five euro mps be call off sit after tehran refuse to let them meet with a jailed activist'
positive,'rehearsal wedding for my cuz USER a dusty83 go on at pro bowl big day be tomorrow'
negative,'user user the chipsets tear through battery life coworker have a htc thunderbolt that he get about 3 hours of life'
negative,'rt user why facebook and google have get it wrong URL'
positive,'happy valentine day 3 yes in brazil it be celebrate on june 12 your mind blow'
positive,'i be crazy about ios5 the photo cropping be the best user'
negative,'stay in tahrir sq be \'infringing on others \' right \' by deny them to go to work u leave do u occupyauc aucstrike ( 1 2 )'
positive,'good god the camera app in icecream sandwich be amazing and that camera be fast samsung google android galaxynexus'
negative,'rdm seriously believe last night prove sunday \'s defeat be unjust if anything i \'m surprise our first xi twat you on sunday'
negative,'they may have a superbowl in dallas but dallas win a superbowl not_with that quarterback and owner user user'
positive,'when 30 second to mars and mcr be dead and go i will kill myself because there will be not for me on this earth'
positive,'another gem from microsoft curate your personal history with project greenwich available later this month URL'
negative,'pakistan news procter and gamble sales fall 6 7 : p g say net earnings in the quarter to september 30 fell to url'
negative,'what be user think make siri totally not a network connection siri USER utter frustration'
negative,'twitter y facebook off'
negative,'from it \'s laughable file : google will encrypt search result but only if u have log in so they can maximize their data collection'
positive,'user i tang jun for christmas i not_him on valentine as well'
positive,'cry for every episode of dream high 2 start from episode 13 t t tomorrow i shall watch the last and final episode'
positive,'may your life one day be as awesome as you pretend it be on facebook will ferrell'
positive,'USER kaaaaarrraaa ) )'
positive,'rt user user you be right an iphone be a must have addict welcome to the user club'
negative,'not_to learn more trick about your check out the latest user tutorial here not_makers geek URL'
negative,'like user da fuck be this shit URL'
positive,'delighted mr jena be still one of our own we \'re get there boy and girl nffc'
positive,'georgetown be the move tomorrow happy'
positive,'USER you need an user s with siri'
negative,'totally unproductive day with access to microsoft excel or word aaargh will be work late tonight after hubby fix fingerscrossed'
negative,'correction : user buy kudos to chris user ranch s a tx fix issue not_resolve after 1 2 day w user user hero of my day'
positive,'yes we all know indio vs cv be tomorrow the bell game its enough'
positive,'mizzou beat kentucky 2 1 tigers advance to face top seed florida in the semi on friday at 6:30 p m'
negative,'user when you have time you should facetime me so i can show you your god child eggbabies'
positive,'google samsung galaxy nexus ic press release be now do i \'ll go back to my regular tweeting interval now happy i it'
negative,'USER it be predict that the winter classic and the all star game will be cancel this upcoming monday fuck endthelockout'
negative,'fabio capello ( russia \'s head coach ) wish not \'s injury be more serious ( russia will play against portugal tomorrow in the wcq )'
negative,'lose my ss shirt so i \'m just gonna wear my old ss jacket tomorrow instead ;b'
positive,'see that be why you not a runner at nd and nobody out matter who the hitter'
negative,'anyone else have trouble with the ( i twitter app updating user i get notify but not_see them in the app'
negative,'how to know a shit bar you get your arm stamp if u wake up tomorrow with print on your arm your a twat'
positive,'cfc user be the best of the premier league his overall ea sport player performance index score : 217 ( 1st place ) matamagic'
negative,'my user user keyboard will not :('
positive,'mmm smarterphone rt USER introduce ice cream sandwich the delicious new version of android : url ic google'
positive,'user if the potus win 2nd term not_that nj gov gonna go back to bash him when his state be in better shape ( 2 2 )'
positive,'thank you snow for cancelling class today now you may stop snow so that i can drive to chapel hill tomorrow i \'d really appreciate it'
positive,'user only you can answer before i try there \'s on wp8 a way to call 3rd p apps like intent on android i wanna switch to wp'
positive,'if you love to dance i hope to see you support this saturday all info on the flyer URL'
negative,'read the sun and watch jeremy kyle where do it all go wrong better do some work ashamed'
negative,'i be very upset about and inconvenience by this iphone update fail backup user user'
positive,'URL new sexy not_about : theeuropeandream be available in indianapolis : friday sunday'
negative,'user of others jenelle may have make mistake but she have time to change and be a better person its too late for you fuckhead'
negative,'all this damn work i still not the chance to call martin about these poem i have to do it tomorrow'
positive,'just get back from the movie not_to see the new night at the museum with rachel it be good'
negative,'hey user i know steve job die all but my twitter for ipad app keep crash fix it now please lol f light'
negative,'i never watch the oscar but with seth macfarlane hosting i may have to actively campaign to get other people to watch them either'
positive,'new galaxy nexus : os improvement data usage tool inbuilt nexus samsung google android bit ly nejbye'
negative,'wow worst user customer service experience ever not_and inept bad combo biltmore apple store'
negative,'today april 17th ( palestinian prisoner \'s day ) be ironically the day israel claim it would release khader adnan action yet'
negative,'user thanks apple for io 5 and lose all my contact'
positive,'wp7 be get there : microsoft claw back to smartphone relevance : rich jaroslovsky bloomberg url via user'
negative,'damn it user whatchu do to my phone'
positive,'gotta have me a boyfriend by december that way he \'ll be good mend by time valentine \'s day get here lol i need all that'
positive,'twitter i love you'
negative,'user user iphones r 2 expensive most w htc galaxy customer loyalty w phone comp'
positive,'one word wow rt user iphone 4s first weekend sales top four million : url (via user'
positive,'from which company do you experience the best customer service aside from user and user'
negative,'okc thunder center kendrick perkins may miss the preseason due to a wrist injury'
positive,'yay we be not_page on will ferrell \'s funny or die for the 24th time check it out URL'
positive,'well we be very busy i \'m just too excited for tomorrow cebu here we go'
positive,'i keep forgettin how much i really like twitter lol'
negative,'user so i not_to the 5th ave store and be tell i could wait about 4 hours to get a 4s needless to say i \'m back at the hotel relax'
negative,'people talkin shit just wait i \'ll be in huntsville tomorrow let me see you'
positive,'so this saturday fort canning with sweethearthappy okay can yay'
positive,'there you go accord to url google be builtin to the os nexus line smart move happy'
positive,'i just remember \'niggas in paris \' be a song delight what a saturday positivetroll'
positive,'we \'re one of a few featured education apps on the user website today sweet URL'
negative,'navi rabbit in for spay on tues and she \'s just have a phantom pregnancy what time this mean day of bunwatch and raspberry pi city :('
positive,'icecreamsandwich way and beyond what i expect wait to get it on my nexus to play with google'
positive,'nigga in paris be play in the waiting room at the clinic and this old lady sit tap her walking stick and bob her head so cute'
positive,'be google down url via user good for bing microsoft s investment pay off'
positive,'west ham have score eight times in andy carroll \'s three start he may not score yet but he \'s make it easier for others to score'
negative,'be on hold with user customer service for 25 minutes wow lt \'s like they \'re timewarnercable'
negative,'ecuador worry about assange \'s health ecuador say it be concern about the health of the wikileaks founder jul URL'
positive,'brandon weeden be go to be a player someday he \'s not now ron jaworski just now on sunday nfl countdown countdowntokickoff'
negative,'when u dine with a customer u shoukd never explain abt solution unless he ask m never lean the concept microsoft fail'
positive,'october 17th november 3rd not the company of fool performance of the woman in black url'
positive,'tonight \'s the decider will i be at the garden friday night for knicks heat game 6 here \'s hope for a miracle'
positive,'omg the android 4 0 sdk be available now user google'
positive,'who be richard wright have man city sign an amateur footballer'
negative,'with all nots attention frankie feel like a forget stepchild let \'founding father \' him so he know we will never forget 2nd place'
negative,'post of the night : anonymous id : excv6jkr ) 11 02 12( fri)00:52:39 not_434329650 this thread be like watch a monkey fuck a coconut'
positive,'well at least the user store have amazing call wait music need'
positive,'just apply for a job at user hope they call me lol'
positive,'user happy thursday enjoy the show so much last night watch 4x thankyoutimeshifting have a great day my greek'
positive,'rt user url ipads less desire than windows tablet say study apple microsoft ms'
positive,'muse on jonathan ross not have some exciting news about muse to announce monday from gotham record'
positive,'flight star denzel washington be a good ass movie go see it tomorrow when it come out'
negative,'only thing bad about the new user camera be that it have two compact flash cards one of sd sd go in my user computer damn you'
positive,'richie hawtin monday night buffalo town ballroom not it'
positive,'i \'m so ready for ice cream sandwich ic nexus google android siriwho url user android'
positive,'egypt 039;s not_mohamed morsi on monday pardon all those arrest between the start of the revolution t URL'
negative,'ouch crash and burn android facial recognition in icecreamsandwich work during the presentation url google'
negative,'omg the music video come out tomorrow btw i still not over harry \'s voice :\' ) URL'
negative,'why book user genius bar if after 2 5 hours you still not serve disappointing apple store sydney thanksfornothing'
negative,'we need date google samsung launchfail'
positive,'i have the same birthday as both anderson cooper and nadal june 3rd be an awesome day i guess'
negative,'rt user hey user do you wanna fix my fucking playlist order you piece of shit'
negative,'tech apple ceo apologize for error ridden new map app apple ceo tim cook apologize friday for the company 039 ; URL'
positive,'dinner with my dad and tony parker with a last second game win shot what a great night just in time to be ruin by 300s tomorrow'
positive,'so thankful for the incredible people user for go above and beyond and offer to and replace my water damage macbook pro wow'
positive,'the new android nexus phone make the iphone look like a cheap toy at dollar store tcot android google realestate USER'
positive,'if the steelers play as good as they do sunday i say keep the bee uniform on all the way to the superbowl steelers'
positive,'user have you film jonathan ross yet wait to see it on sit happy xxx'
positive,'slick beam capability include in android 4 0 touch 2 devices together and select beam and i transfer google android ic'
negative,'you know what i give a shit about tomorrow yolo'
positive,'i \'m excite for trunk or treat tomorrow ( nov 2 ) night at the boy and girl club in pottstown it will start at url'
positive,'wish i could make that trip to athens on tuesday user'
negative,'unmindful ballmer collect half a billion say thank you URL android google microsoft'
positive,'1 noel fielding comedy gala tonight happy 2 work all day tomorrow 3 granny smith festival that night'
positive,'rt user twitter give everyone that voice that they believe should be hear by people unlike real life lol'
positive,'mango show microsoft still have the taste for smartphone success URL wp7 mango'
negative,'new halo gameplay trailer : url anancientevilawakens'
positive,'yessss i \'m lovin the iphone update especially the slide down bar at top of screen ) good job USER'
positive,'greader share five reason why google be win the war in photosharing url photography fotografia google'
positive,'northern light sale on thursday ; great pedigree all the way through the catalogue genomics the full package view catalogue online'
negative,'nigga be really on some 10th grade shit tonight'
negative,'it \'s fucking friday so it \'s only right to bump friday by flatbush zombie at level'
positive,'beautiful morning in wales clear clod and frosty if it not_for the 1000ft kt wind i would be fly bitfastthat'
positive,'google galaxynexus icecream great'
negative,'i miss my bestfriend octaveia my cousin april my bestie kaliyah tricey dasia mikia the other people i miss with at richwood'
negative,'it would be great if user would send my new phone frustrate'
positive,'rt user twitter can be so useful on let out your feeling when you not the real world'
positive,'user user yeah yeah your armor be better in every way and your lariat be better than mine too p'
negative,'not in the east : ( though moon jupiter capella light up evening sky on november 1 tonight earthsky URL'
negative,'back to norwich city tomorrow to do loads more shopping as we fit it all in on monday shopping norwich addict'
positive,'i wait for a new ic phone google android'
negative,'user be there a problem with io 5 that be prevent audio apps and audio function from operate properly i keep lose sound'
negative,'twitter be you freak kid me wth URL'
negative,'user siri be working due to network problem seriously can you fix this iphone4s fail'
negative,'have be on terminal hold with user support she must be the only person have trouble with the new iphone and synching'
positive,'someday i \'ll have a party and that party \'ll be name angelo \'s 18th yes after 2 more years i just turn sixteen and i \'m a college not _'
negative,'ok go down to melaka tomorrow morning with two others visit fren in icu :('
negative,'i will never purchase another user product for the rest of my life i am glad steve job be fuck dead may you fucking rot in hell'
negative,'it \'s age since i have kfc well apart from the mush in a bun that pass as breakfast last sunday that not'
negative,'user c \'mon guy fix this please i not_not_this to end up how diablo iii do : ('
negative,'with windows 8 microsoft not_forget past antitrust issue URL'
negative,'friday \'s cnet update be play one republic : apple ceo say sorry for io 6 map mess apple ceo tim cook have say he be extremely sorry'
positive,'microsoft research show holodesk awesome the holodeck be one step closer bite ly pcmjon kinect via user'
positive,'raise your hand if you now not_an android4 icecreamsandwich powered galaxynexus phone google samsung'
negative,'i keep think about the fact that mmg will be in lexington on saturday and i not there :( ( ( ( ('
negative,'oh just fuck you user already gt ; iphone 5 on schedule for summer launch url via user'
negative,'twitter be blow me ; i not_see my retweets ; ('
positive,'i lovee twitter swaag'
negative,'user the u s postal service report a 5 2 billion quarterly loss say it be nearly out of cash sit mail will be go very soon'
negative,'this be ball shit because i break my ankle on sunday at football the army let me in for 1year thanks callum twat'
positive,'um i just learn that sunday be national chocolate day i \'m totally take advantage of that'
negative,'ghost rider 2 suck compare to the 1st my mom ash be look at it and i tell them the same haha'
positive,'mitch daniel give stephen colbert a purdue hat on thursday \'s show i hope he burn it in a raging flame of glory'
negative,'be sit in my room stick down postcard of tehran on the wall for god know how long why have nobody invent a teleporting machine yet'
positive,'twitter gt ; facebook'
negative,'dear user twitter fix your shit we see our retweets or mention'
positive,'idk ( live at url'
negative,'ghana use 30 000 bvr kit to register 12 5 13million in three month kenya will use 15 000 bvr kit to register 18million in one month'
positive,'check out the new microsoft faculty fellow here : url poise to change the world'
positive,'happy valentine day lulwhuuuut i guess it be february weather though'
positive,'kurt convey win the boy race in 16 :01 with nick diaz come in 2nd around 16 :10 rounding out the top 3 be kenny castro'
negative,'user battery life suck on io 5'
negative,'martin must be dread it it \'s make or break for him tomorrow it \'s the nature of the beast'
positive,'so glad google adopt a design philosophy for android 4 0 a k a it show soooo much this be the polish i \'ve be wait for'
negative,'uh oh just turn on cardinal game 1st thing i see state farm commercial with kerry wood not_a good sign for cardinal'
negative,'why be my mind do this to me 1st i think about max and how he always know when i \'m sad and now i think about what happen when he die'
positive,'user happy 20th birthday nick j hope it \'s one of the best you \'ve accomplish so much already and so much more to come love you'
positive,'will watch this one with interest rt user microsoft codename data explorer ctp come next month URL'
positive,'halloween be the third big party day of the year behind new year \'s eve and super bowl sunday'
negative,'ugh wtf be up with all the bottleneck user user'
negative,'webpronews finance yahoo revenue drop attribute to microsoft deal URL'
negative,'awwww shit i still get some new amsterdam in the fridge mmhmm tomorrow after work ima need that before i go out'
negative,'i may be the only girl on the face of the earth that find channing tatum attractive callmecrazy justsayin donthateme'
negative,'i need to get off twitter'
positive,'linsanity user jeremy lin be a 23 for rocket in his debut that \'s the nd best plus minus for him in any game in his career'
positive,'user user put it in the wash be kind of the not_to will it blend glad to hear it \'s still alive'
negative,'horrible dream lady night i \'m tiered but today be my friday and its the start of the rodeo tonight hearthorses'
negative,'all i can say about user right now be goodriddance — see cancer not bad'
negative,'im go home and throw this up my diet start tomorrow USER'
negative,'okay twitter it \'d be muchhh appreciate if you could start work on my computer soon'
positive,'wait to see \'flight \' with denzel washington on tomorrow bam ; )'
positive,'i like a user video url 17th grammys : paul simon and john lennon co present the grammy for record of the'
positive,'user good taste in music happy favorite band'
positive,'look forward to see the illegal eagle at dorking tomorrow night with lin amigo best eagle tribute band around illegaleagles'
positive,'i love the on time part user axl rise show up on time give jimmy kimmel 1st live tv interview in 20 years URL'
positive,'pump to open the season tomorrow night against georgetown nots preview : url nots preview : URL'
negative,'an apple update have seem to render my work machine incapable of open hdv video thanks user zero useful productivity today'
negative,'rt user if user do resolve the siri network issue they will need to rename a great product to sorri who else be havin'
positive,'user 1win from the superbowl game tomorrow at noon git r do URL'
positive,'photo sharing and the people app be what \'s best in ice cream sandwich imo google ic'
positive,'vote today proudest to vote for question 4 and 6 equal right for all under the law'
negative,'think imma go see flight tomorrow denzel \'s the shit'
negative,'ask siri where \'s baby lisa and be tell sorry i \'m have trouble connect to the network right now user server fail ios5'
negative,'cupid do so much work da 1st time that he not_wanna be my friend not'
positive,'user liam payne saturday i buy my ticket for the tmhtour in belgium i \'m so happy happy'
negative,'ni as in paris encore 2 mosh pit it \'s too far away to see b but the nd pit fail because of b \'s security URL'
negative,'ramdev \'s jailed aide \'s pic with freedom fighter at ramlila : new delhi aug 9 : controversy erupt at the url india'
positive,'new contact app build on a magazine style layout and aggregate contact info from multiple source very slick google android ic'
negative,'loser have to make 20 rts of winner choice on election night bet accept stay tune user user ok you \'re on'
positive,'when the best i on internship user sony be come to tp this friday to look for talent'
negative,'frustrated that i buy a new macbook pro from user only to find it not with medium expensivepaperweight'
positive,'fabio capello : from what i \'ve see these days i can assure you russia be capable of get a good result vs portugal tomorrow cantwait'
negative,'ghost rider 2 : spirit of vengeance may just have enough nonsense to satisfy user statham not _'
positive,'flyin to the bay tomorrow then kickin it in not_a couple days before go to colorado fuckyes'
negative,'nfl commissioner roger goodell say he may cancel the pro bowl : url would you care if there be not bowl'
positive,'kevin hart show at msg on november 10th be go to be beautiful'
negative,'i would be a lot happy if microsoft word freeze every 5 minutes'
negative,'user be you prepare for life without rvp with podolski now giroud apparently in i be player come go me not_haha'
negative,'restore my iphone still not_texts dear user y love y restriction on my sm y not_texts ios5 io'
negative,'seemingly endless loop of call to user user user to investigate my miss s crankywithnophone'
positive,'user one really good thing with twitter be that most people appear to be on the progressive left social side this scare gov'
positive,'the answer to everything ? ? URL'
positive,'user i it too now just wonder who will be carry it in november or direct purchase from google samsung'
negative,'i always cry wen i listen to avril sing tomorrow in dublin i just remember everything bad happen to me :'
positive,'it \'s so early here in germany my american friend be just now get drunk off to prague knucklehead talk to you on sunday czechrep'
negative,'just watch project x for the 1st time im unamazed y \'all hype it way past what it be'
negative,'i just come back from mexico city i will fail 2 subject for going to school for a week if rih come to mexico in the 14th omg'
negative,'prince william meet \'the rottweiler \' camilla parker bowles and she come out : harry may be full of mischief a url'
negative,'i can get money for kermit but not have it by tomorrow'
positive,'user on november 16 be ready to head to the movie break dawn : part 2 ( ;'
negative,'training do rain here would love to be back at jumeirah zabeel saray in dubai relax with the family fantastic resort staff'
positive,'the best thing about walk dead return be it mean spartacus will be back soon too ( dammit starz site say january )'
negative,'it \'s a huge mistake for the new york marathon to be hold this weekend when so many be without home food and power'
negative,'user can suck my dick gotta restore my ipad annoy'
negative,'siri be have a hard time remember who my sister be contact card need space for family info iphone4s USER'
negative,'i just realize that thalia be go to be torture tomorrow for an hour lmao'
negative,'my teacher call themselves givng us candy not the good stuff i might go to walmart or cv tomorrow'
