@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
negative,'sister_noun be_verb rub_verb it in my face_noun the fact_noun that she have_verb not_adverb school_noun tomorrow_noun and i do_verb ulazysackofshit_verb thalia its all love_verb though lmao_noun'
positive,'user_noun lebron_noun be_verb a hometown_noun hero_noun to me lol_adjective i love_noun the lakers_noun but let_verb \'s go_verb cavs_noun lol_noun'
negative,'so_adverb user_noun \'s iphone_noun 4 be_verb give_verb her a hella_noun hard_adjective time_noun w_verb the ios5_adjective update_noun user_noun'
negative,'arianators_noun please_verb help_verb me i \'m_verb a girl_noun who \'s body_noun be_verb very_adverb sore_adjective and just_adverb ask_verb for ariana jennette_noun \'s goodluck_noun for tomorrow_noun please_verb SADSMILEY_noun'
positive,'back_adverb when i work_verb for nike_noun we have_verb one fav_noun word_noun just_adverb do_verb it HAPPYSMILEY'
negative,'user_noun user_noun 3rd_verb o where have_verb i_verb be_verb i think_verb careless_adjective world_noun be_verb the 1st_adjective one_noun not_adverb'
positive,'not_adverb wait_verb to raid_verb cv_noun tomorrow_noun for the discount_verb candy_noun halloween_noun'
positive,'i not_adverb get_verb over that shit_noun lol_noun hell_noun naw_noun twitter_noun'
negative,'rt_noun user_noun how apple_noun eclipse_verb microsoft_adjective url_noun lt_noun microsoft_noun \'s future_noun be_verb in the corporate_adjective world_noun not_adverb consumer_noun'
positive,'dr_noun mohamed_verb morsi_adverb announce_verb as egypt_noun \'s 1st_adjective elect_verb president_noun after the glorious_adjective 25th_adjective of jan_noun revolution_noun congratulations_noun to egypt_verb'
negative,'all i_noun know_verb be_verb marana_noun girl_noun be_verb bad_adjective as fuck_adjective and white_adjective if the one_noun at the party_noun i_noun go_verb to with jaylon_noun on saturday_noun be_verb marana_noun tigers_noun'
negative,'valor_noun be_verb official_adjective screwed_noun tomorrow_noun audis_noun and bmws_noun not_adverb good_adjective in the snow_noun valorproblems_noun richkidproblems_noun letsgetoursecondcarsout'
positive,'entrepreneur_noun angelinvestor_noun pitch_noun in on the new_adjective birthday_noun party_noun super_noun bowl_noun sunday_noun treat_noun URL'
positive,'russell_noun howard_adverb then_adverb cuckoo_adverb then_adverb celebrity_noun juice_noun then_adverb family_noun guy_noun thursday night_noun be_verb the best_adjective night_noun for comedy_noun'
positive,'my sis_noun win_verb ticket_noun for the jonas_noun brother_noun concert_noun user_noun canning_noun on monday_noun'
positive,'egypt_noun \'s morsi_noun get_verb red_adjective carpet_noun welcome_noun in iran_adjective tehran_noun aug_verb 29 egypt_noun \'s mohamed_adjective morsi_noun be_verb in iran_noun for the first_adjective visit_noun URL'
negative,'boo_noun to not_adverb googlemusic_adjective news_noun us carrier_noun news_noun or price_noun point_noun google_adjective ic_noun android'
negative,'open_adjective letter_noun steve_noun ballmer_noun please_verb retire_verb forbes_noun please_verb retweet_adjective msft_noun need_verb a techie_noun leader_noun url_noun microsoft_adjective ballmer_noun'
positive,'wish_verb maddie_verb luck_noun next saturday_noun she have_verb a solo_noun audition_noun for britain_noun \'s get_verb talent_noun HAPPYSMILEY_noun ellie_noun xx_noun'
negative,'microsoft_adjective fail_verb notresponding_verb for fcucks_noun sake_noun URL'
positive,'url_noun my profile_noun of sandro_noun i_noun do_verb kind_noun of love_noun him'
negative,'user_noun give_verb me my apps_noun back_adverb'
negative,'what \'s_verb worse_adjective than be_verb stick_verb in a time_noun loop_noun of groundhog_noun day_noun be_verb stick_verb in a monday_noun loop_noun'
positive,'14 feb_noun 2011 happy_adjective valentine_noun \'s day_noun everybody_noun i \'m_verb go_verb to buy_verb cookie_noun and stuff_verb myself full_adjective'
positive,'so_adverb yeah user_noun ios5 readinglists_noun have_verb change_verb my life_noun nowicanspendevenmoretimeonmyphone'
positive,'four now_adverb three tweet_noun away_adverb from 900 here_adverb \'s_verb where i mention_verb that i \'m_verb pour_verb wine_noun for a friday_adjective night_noun with diablo_noun ii_noun meta_noun classy_noun'
positive,'heat_noun vs knicks_noun first_adjective round_noun of playoff_noun tomorrow_noun lebron_noun wade_verb better_adverb bring_verb it'
positive,'user_noun cassidy_noun im jealous_adjective of your hair_noun haha_noun just_adverb sayingg_verb'
negative,'user_noun user_noun please_verb deliver_verb my daughter_noun \'s i_noun she be_verb drive_verb me nut_noun iphone_noun'
negative,'USER these people_noun not_adverb know_verb who mick_verb jagger_noun be_verb you not_adverb old_adjective old_adjective skool_noun maybe_adverb but c \'mon_adjective mick_noun jagger_noun have_verb a lot_noun more_adverb years_noun than you'
negative,'oh not_adverb she not_adverb bgv_adverb rt_verb user_noun i not_adverb wait_verb to make_verb user_noun lassyy_adverb listen_verb to two hours_noun of taylor_noun swift_adjective during our drive_noun tomorrow_noun'
positive,'premier_noun league_noun west_noun ham_noun v_noun man_noun city_noun on saturday_noun our preview_noun look_verb at the stats_noun have_verb some interesting_adjective bet_verb tip_noun URL'
positive,'there be_verb on thing_noun i have_verb learn_verb from the mlb_noun playoff_noun cougar_noun town_noun on a new_adjective network_noun i not_adverb wait_verb till january_adjective poundinggrape_noun pennycan_verb'
positive,'user_noun halloween good_adjective and who be_verb the 3rd_adjective valentine_noun \'s day_noun or'
negative,'ghost_noun rider_noun spirit_noun of vengeance_noun be_verb a lose_verb cause_noun you have_verb nowhere_adverb to go_verb but up_adverb after the 1st_adjective movie_noun and then_adverb you decide_verb to dig_verb a hole_noun'
negative,'fuck_verb u USER'
positive,'i either love_noun brokeback_noun mountain_noun or think_verb it \'s_verb great_adjective that homosexuality_noun be_verb become_verb more_adverb acceptable_adjective'
positive,'he \'s_verb like \'yeah_adjective i_noun get_verb acne_noun and i love_noun brokeback_noun mountain_noun \''
negative,'obviously_adverb i be_verb not_adverb a fan_noun of dream_noun high_adjective 2 and i_verb not_adverb even_adverb watch_verb it well_adverb i watch_verb the 1st_adjective ep_noun that \'s_verb where i hear_verb that song_noun'
negative,'google_adjective apps_noun vs microsoft_adjective office_noun 365 it be_verb clear_adjective that google_adjective apps_noun should be_verb the top_adjective choice_noun URL'
negative,'samsung_adjective google_noun unveil_verb phone_noun URL'
negative,'have_verb ma_noun ipas_noun not_adverb 24 hours_noun an i_noun jailbroke_noun it now_adverb its shagged_adjective itunes_noun not_adverb letme_verb restore_verb it user_noun sym_noun'
positive,'i \'m_verb start_verb to get_verb really_adverb concern_verb send_verb hashtags_verb in email_noun HAPPYSMILEY_noun twitter_noun be_verb take_verb over our life_noun HAPPYSMILEY'
negative,'be_verb in amsterdam_noun this early_adverb on a friday_noun morning_noun be_verb not_adverb my ideal_adjective i_noun just_adverb want_verb to get_verb home_noun'
positive,'good_adjective to see_verb flacco_noun show_verb some fight_noun in the nd_noun half_noun that \'s_verb about all i can ask_verb for at this point_noun'
negative,'this may be_verb a reason_noun to swap_verb io_noun have_verb too_adverb many_adjective daft_adjective game_noun android be_verb a desolate_adjective wasteland_noun when it come_verb to game_noun URL'
positive,'i play_verb rugby_noun yesterday_noun may have_verb break_verb my finger_noun but it be_verb definitely_adverb worth the pain_noun the game_noun be_verb more_adjective fun_noun than i remember_verb'
negative,'apple_noun ceo_noun apologize_verb for error_noun ridden_adjective new_adjective map_noun app apple_noun ceo_noun tim_noun cook_noun apologize_verb friday_noun for the company_noun \'s error_noun ridden_adjective new_adjective mobile_adjective map_noun'
negative,'this rt_noun user_noun look_verb like user_noun do_verb not_adverb appropriately_adverb project_verb the resource_noun need_verb for siri_noun not_adverb very_adverb reliable_adjective'
positive,'anyway_adverb thats why i love_noun brokeback_noun mountain_noun'
negative,'ghost_noun rider_noun 2 be_verb pretty_adverb shit_verb i like_verb the 1st_adjective one in all honesty_noun but the nd_noun be_verb badly_adverb direct_verb the shaky_adjective camera_noun style_noun be_verb disorientate_verb'
negative,'user_noun u_noun guy_noun be_verb gay_adjective'
negative,'user_noun c_noun \'mon_adjective leo_noun where \'s endymion_noun or amsterdam_noun i know_verb he like_verb amsterdam those song_noun be_verb shit_noun compare_verb to the one_noun i_adverb put_verb'
positive,'user_noun siri_noun be_verb amazing_adjective'
negative,'be_verb this cif_adjective piece_noun mean_verb to be_verb funny_adjective i mean_adjective other_adjective than in the unintentional_adjective sense_noun of be_verb ironically_adverb humourless_adjective URL'
negative,'after i tweet_verb about user_noun gary_adjective carter_noun photo_noun facepalm_noun they remove_verb the mets_noun photo_noun 2nd choice_noun almost_adverb as bad_adjective kid_noun hold_verb mets_noun cap_noun'
positive,'twitition_noun mcfly_adverb come_verb back_adverb to argentina_noun but this time_noun we want_verb to come_verb to mar_verb del plata_noun URL'
positive,'user_noun \'not red_adjective tape_noun \' new_adjective jersey_noun turn_verb away_adverb nonunion_adverb relief_noun crew_noun URL_adjective via user_noun user_noun hmm'
negative,'good_adjective evening_noun everyone_noun all cost_noun and warm_adjective here_adverb and pork_noun chop_noun in the oven_noun wlf_noun'
negative,'this be_verb kind_noun of really_adverb creepy_adjective use_noun your search_noun engine_noun the same_adjective way_noun as user_noun would URL_adverb microsoft_verb'
negative,'user_noun cu_noun'
positive,'just_adverb whoop_verb some ass_noun in kill_noun confirm_verb with user_noun and user_noun tomorrow_noun its back_noun to makin_verb kat_noun cry_verb in gear_noun'
positive,'yay_noun not_adverb mars be_verb come_verb out with a new_adjective album_noun on december_noun 11th_adjective HAPPYSMILEY_noun i must have_verb it'
positive,'sit_verb at work_noun and i_noun have_verb the will_noun ferrell_adjective boxset_noun with me might put_verb a film_noun on or have_verb a power_noun nap_noun or sit_verb here_adverb do_verb nothing_noun that sound_verb good_adjective'
negative,'rt_noun user_noun warning_noun if iphone_noun apps_noun spontaneously_adverb loose_adjective data_noun it might not_adverb be_verb the app_noun \'s fault_noun url_noun ios5downgrade'
positive,'kinect_noun make_verb learn_verb playful_noun with help_noun from sesamestreet_noun and nationalgeographic_adjective education_noun microsoft_adjective url_noun'
negative,'user_noun thank_verb you for suck_verb so_adverb much_adjective i not_adverb believe_verb you would sell_verb something_noun online_adverb that not_adverb make_verb'
negative,'wilth_noun accessibility_noun mode_noun on in sharepoint_noun 2010 it seem_verb that workflow_noun sometimes_adverb do_verb not_adverb start_verb automatically_adverb sp2010 workflow_noun microsoft_adjective'
positive,'ipads_noun replace_verb bound_verb playbook_noun on some n_noun f_noun l_adjective team_noun URL user_noun user_noun'
positive,'come_verb to the dark_adjective side_noun user_noun hey user_noun if you send_verb me a free_adjective iphone_noun i_adverb will publicly_adverb and ceremoniously_adverb burn_verb my blackberry_noun ”'
negative,'user_noun user_noun so_adverb in itunes_noun i go_adjective store_noun gt_noun authorise…_noun why not_adverb it just_adverb auto_noun authorise_noun it when i sign_noun into itunes_noun grr'
positive,'lady_noun boner_noun from channing_verb tatum_noun in the vow_noun right_adverb now_adverb and the fact_noun that i get_verb mcdonald_noun \'s breakfast_noun tomorrow_noun with user_noun win_verb'
positive,'welcome_adjective nick_noun j_noun user_noun in manila_noun so_adverb excite_verb for the show_noun on friday_noun'
positive,'saturday_noun \'s ufc_noun on fuel_noun tv_noun look_verb a lot_adverb better_adjective than the schedule_verb undercard_noun of ufc_adjective 151 not_adverb surprise_noun 151 get_verb cancel_verb URL'
negative,'user_noun he can send_verb but not_adverb rcve_adjective txts_noun so he have_verb an apt_adjective user_noun at 4pm then_adverb he exclaim_verb and i_verb wait_verb a whole_adjective year_noun for this phone_noun lmao_noun'
positive,'meet_verb user_noun via google_adjective hangout_noun on wednesday so_adverb cool_adjective to meet_verb someone_noun that you \'ve_verb actually_adverb cite_verb in paper_noun HAPPYSMILEY_noun'
positive,'love_verb ios5 awesome_adjective user_noun'
positive,'uh football_noun boy_noun win_verb tomorrow_noun so we can run_verb it in becky_noun \'s face_noun that she not_adverb there_adverb'
positive,'november_noun my birthday_noun month_noun election_noun day_noun a weekend_noun in san_adjective fran_noun with user_noun naples_noun for thanksgiving lots_noun of friend_noun family_noun yes_adverb'
positive,'finally_adverb in bed_noun such_adjective a long_adjective day_noun but so_adverb much_adverb be_verb accomplish_verb athens_noun tomorrow_noun'
positive,'user_noun ceo_noun point_noun to user_noun as \'corporate_adjective mentor_noun \' as user_noun signups_noun triple_adjective URL'
positive,'paper_noun finish_verb cma_noun \'s over blake_noun and miranda_noun dominate_verb accounting_noun hw_noun get_verb push_verb to wednesday_verb go_verb to bed_verb happy_adjective HAPPYSMILEY_noun'
positive,'one ticket_noun leave_verb for the user_noun game_noun tomorrow_noun not_adverb miss_verb the rematch_noun of the nfc_adjective championship_noun game_noun against the ny_noun giant_noun hit_verb me up'
positive,'nothing_noun like watch_verb the vow_noun on a friday_adjective night_noun cheer_noun to cancelled_adjective plan_noun and sickness_noun'
negative,'piss_verb with whoever design_verb keyboard_noun with user_noun for not_adverb have_verb a home_noun and end_verb key_adjective work_verb on the cli_noun i_verb use_verb those key_noun often_adverb'
positive,'love_noun ios5 easter_adjective eggs_noun pull_verb down from middle_adjective top_noun to bottom_noun and see_verb what pull_verb down awesome_adjective little_adjective feature_noun user_noun lovemyiphone_noun'
negative,'if you be_verb a family_noun member_noun friend_noun or fan_noun of austin_noun river_noun you may want_verb to unfollow_verb me this be_verb about to get_verb ugly_adjective'
positive,'safe_adjective and sound_adjective on 57th_adjective and 11th_adjective hope_verb that they clean_verb up sandy_adjective quickly_adverb for those that be_verb in her path_noun love_noun you all'
positive,'goodnight_adjective bot_noun tomorrow_adverb remember_verb 106 park_noun mobo_noun twitter chat_noun and david_adjective letterman_noun with user_noun good_adjective day_noun for the bot_noun'
negative,'microsoft_adjective update_noun be_verb so_adverb slow_adjective SADSMILEY_noun URL'
negative,'thursday_adverb just_adverb not_adverb as exciting_adjective now_adverb waterloo_noun road_noun have_verb stop_verb'
positive,'mad_adjective props_noun to the user_noun employee_noun that not_adverb charge_verb me to replace_verb the back_noun plate_noun on my iphone_noun make_verb my day_noun'
positive,'daniel_noun good_adjective humor_verb on comedy_noun show_noun indiana_noun gov_noun mitch_noun daniel_noun be_verb a good_adjective sport_noun thursday_adverb when he appear_verb on t_noun URL'
positive,'now_adverb all user_noun have_verb to do_verb be_verb get_verb swype_noun on the iphone_noun and it will be_verb crack_adjective iphone_noun that be_verb'
negative,'rt_noun user_noun if user_noun not_adverb fix_verb ios5 this week_noun i \'m_verb buy_verb a droid_noun emptythreats_noun'
negative,'user_noun you can suck_verb it you and your fucking_adjective iphones_noun better_adverb be_verb glad_adjective it \'s_verb all i like cause_verb the service_noun be_verb fuck_verb terrible_adjective'
positive,'eric_adjective arc_noun elliott_noun may be_verb the best_adjective rapper_noun in flatbush_noun zombie_noun'
negative,'giant_noun 3rd_verb round_adverb pick_verb fail_verb drug_noun test_noun at nfl_adjective combine_noun jayron_noun holsey_noun know_verb it would hurt_verb him bec url_noun newyork_verb sport_noun'
negative,'apple_noun not_adverb innovate_adjective or manage_verb supply_noun chain_noun not_adverb ca october_verb 04 apple_noun ceo_noun tim_noun cook_noun speak_verb at the event_noun introduce_verb the new_adjective i_noun'
negative,'ohh i think_verb you say_verb im who you want_verb 5th_adjective textUSER_noun bro_noun user_noun user_noun it \'s_verb just_adverb twitter_verb why you lurk_verb 4th_adjective tweet_noun'
positive,'patrick_noun roy_noun \'s last_adjective game_noun as a canadien_noun be_verb one of the selection_noun for this weekend_noun \'s hnic_adjective rewind_noun'
positive,'ice_noun cream_noun sandwich_noun u r_noun really_adverb delicious_adjective can ditch_noun iphone_noun for u_noun that \'s_verb for sure_adjective google_noun launch_verb android4 aka_adjective icecreamsandwich_noun HAPPYSMILEY'
negative,'protest_noun against the mitch_noun daniel_noun purdue_adjective presidential_adjective nomination_noun tomorrow_noun user_noun theater_noun 2 30 pm_noun bring_verb a friend_noun soapurdue_noun'
positive,'wow_noun great_adjective deal_noun on refurbed_adjective ipad_noun first_adjective gen_noun model_noun rt_verb apple_noun offer_verb great_adjective deal_noun on refurbished_adjective 1st_adjective gen_noun ipads_verb url_noun user_noun'
negative,'i wish_verb the apple_noun updater_noun would stop_verb try_verb to ram_verb itunes_noun down my throat_noun i_verb not_adverb own_verb a pissing_noun iphone_noun USER'
positive,'microsoft_adjective explain_verb new_adjective improvement_noun in windows_noun 8 start_noun screen_noun search_noun url_noun buildingwindows8 user_noun tech_noun microsoft'
negative,'why be_verb google_adjective whoring_noun for samsung_adjective ic_noun'
positive,'another beauty_noun of a day_noun in athens_noun greece_noun i trust_noun you \'ll have_verb an exceptional_adjective friday_noun wherever in the world_noun you be_verb much_adjective love_noun'
negative,'rt_noun user_noun koers_verb google_adjective apps_noun vs microsoft_adjective office_noun 365 it be_verb clear_adjective that google_adjective apps_noun should be_verb the top_adjective choice_noun url_noun in'
positive,'come_verb out_adverb and have_verb some laugh_noun with me spartacus_adjective and max_noun at caroline_noun \'s comedy_noun club_noun this wednesday_adjective october_adjective 24th_adjective url_noun'
positive,'just_adverb see_verb a taste_noun of google_noun \'s ice_noun cream_noun sandwich_noun now_adverb i_verb want_verb a bite_noun'
negative,'damn_verb you USER'
positive,'soul_noun train_noun oct_noun 27 halloween special_adjective ft_noun t_noun dot_verb fine_adjective rock_verb the mic_adjective crazy_adjective cactus_noun night_noun club_noun adv_noun ticket_noun 10 wt_noun out costume_noun 15'
positive,'mm ice_noun cream_noun sandwich_noun android google_noun'
positive,'user_noun i hope_noun they make_verb sure_adjective to take_verb care_noun of eli_noun man_verb giant_noun vs pittsburgh_noun on sunday_noun nfl_noun'
negative,'microsoft_adjective outlook_noun 2011 for mac_noun suck_verb …_adjective hate_noun'
negative,'the glass_noun may be_verb rise_verb but it \'s_verb not_adverb get_verb any warmer_noun here_adverb lago_adverb del desierto_noun argentina_noun URL'
negative,'rt_noun user_noun face_noun unlock_noun ic_noun literally_adverb know_verb your face_noun google_noun galaxynexus_noun fail_verb'
negative,'user_noun all inmate_noun settle_verb for the night_noun warden_noun emotionally_adverb drain_verb need_noun big_adjective hug_noun and tucking_noun in for the night_noun'
positive,'brokeback_noun mountain_noun be_verb beautiful_adjective'
positive,'the people_noun who be_verb worth_adjective it know_verb how much_adjective i love_verb the da_noun vinci_noun code_noun'
negative,'user_noun we not_adverb care_verb about carling_verb cup_noun save it for looserpool_noun yeah_noun we lose_verb also_adverb i_verb not_adverb be_verb cry_verb all night_noun long_adverb on wednesday_adjective night_noun'
negative,'nokia_noun employee_noun still_adverb worry_verb that elop_noun be_verb a microsoft_adjective mole_noun URL microsoft_adjective windows_noun'
negative,'ruby_noun not_adverb even_adverb take_verb me to breakfast_noun tomorrow_noun he drop_verb harold_verb washington'
negative,'so_adverb aston_adjective villa_noun have_verb a must win_verb game_noun against norwich_adjective city_noun tomorrow_noun lunchtime_noun must win_verb how the mighty_adjective have_verb fall_verb'
negative,'how apple_noun eclipse_verb microsoft_adjective URL'
positive,'i cut_verb 6th_adjective period_noun just_adverb so_adverb kevin not_adverb have_verb to be_verb in art_noun by himself im such_adjective a good_adjective friend_noun'
negative,'aww_adjective hell_noun it be_verb a black_adjective cop_noun that shoot_verb the white_adjective student_noun at south_adverb alabama_adjective let_verb \'s all go_adjective march_noun naked_adjective in mobile_adjective for trayvon_noun i mean_adjective gil_noun'
positive,'other_adjective than lemon_adjective tea_noun lemonade_noun coke_noun pepsi_noun be_verb my 2nd_adjective favorite_noun as unhealthy_adjective they be_verb i_verb not_adverb not_adverb stop_verb drink_verb them they \'re_verb just_adverb so_adverb good_adjective'
positive,'user_noun io_noun 5 be_verb sweet_adjective notification_noun phone_verb search_noun cover_verb mail_noun now_adverb wifi_adjective sync_noun icloud_noun backup_noun and integrated_adjective twitter_noun be_verb all_adverb well_adverb do_verb'
positive,'yumyumyum i want_verb ice_noun cream_noun sandwich_noun google_noun android'
negative,'url_noun visit_noun to iran_verb by five euro_noun mps_noun be_verb call_verb off sit_verb after tehran refuse_verb to let_verb them meet_verb with a jailed_adjective activist_noun'
positive,'rehearsal_adjective wedding_noun for my cuz_noun USER a dusty83_noun go_verb on at pro bowl_noun big_adjective day_noun be_verb tomorrow_noun'
negative,'user_noun user_noun the chipsets_noun tear_verb through battery_noun life_noun coworker_noun have_verb a htc_noun thunderbolt_noun that he get_verb about 3 hours_noun of life_noun'
negative,'rt_noun user_noun why facebook_noun and google_noun have_verb get_verb it wrong_adjective URL'
positive,'happy_adjective valentine_noun day_noun 3 yes_adverb in brazil_adjective it be_verb celebrate_verb on june_noun 12 your mind_noun blow_verb'
positive,'i be_verb crazy_adjective about ios5_verb the photo_noun cropping_noun be_verb the best_adjective user_noun'
negative,'stay_verb in tahrir_noun sq_noun be_verb \'infringing_verb on others_noun \' right_noun \' by deny_verb them to go_verb to work_verb u not_adverb leave_verb do_verb u_noun occupyauc_noun aucstrike_noun 1 2'
positive,'good_adjective god_noun the camera_noun app_adjective in icecream_noun sandwich_noun be_verb amazing_adjective and that camera_noun be_verb fast_adverb samsung_adjective google_adjective android_noun galaxynexus_noun'
negative,'rdm_noun seriously_adverb believe_verb last_adjective night_noun prove_verb sunday_noun \'s defeat_noun be_verb unjust_adverb if anything_noun i \'m_verb surprise_verb our first_adjective xi_noun not_adverb twat you on sunday_noun'
negative,'they may have_verb a superbowl_noun in dallas_noun but dallas_noun not_adverb win_verb a superbowl_noun not_adverb with that quarterback_noun and owner_noun user_noun user_noun'
positive,'when 30 second_noun to mars_noun and mcr_adjective be_verb dead_adjective and go_verb i_adverb will kill_verb myself because there will be_verb not_adverb use_verb for me on this earth_noun'
positive,'another gem_noun from microsoft_adjective curate_noun your personal_adjective history_noun with project_noun greenwich available_adjective later_adverb this month_noun URL'
negative,'pakistan_adjective news_noun procter_noun and gamble_noun sales_noun fall_verb 6 7 HAPPYSMILEY_noun g_noun say_verb net_adjective earnings_noun in the quarter_noun to september_verb 30 fell_verb to url_noun'
negative,'what be_verb user_noun think_verb make_verb siri_noun totally_adverb dependent_adjective on a network_noun connection_noun siri_noun USER utter_adjective frustration_noun'
negative,'twitter_noun y_noun facebook_noun off'
negative,'from it \'s_verb laughable_adjective file_noun google_noun will encrypt_verb search_noun result_noun but only_adverb if u have_verb log_verb in so they can maximize_verb their data_noun collection_noun'
positive,'user_noun i want_verb tang_noun jun_noun for christmas_noun i want_verb him on valentine_noun as_adverb well_adverb'
positive,'cry_verb for every episode_noun of dream_noun high_adjective 2 start_verb from episode_noun 13 t_noun t_noun tomorrow_noun i shall watch_verb the last_adjective and final_adjective episode_noun'
positive,'may your life_noun one day_noun be_verb as_adverb awesome_adjective as you pretend_verb it be_verb on facebook_noun will ferrell_verb'
positive,'user_noun kaarraa_noun HAPPYSMILEY_noun'
positive,'rt_noun user_noun user_noun you be_verb right_adverb an iphone_noun be_verb a must have_verb addict_verb welcome_adjective to the user_noun club_noun'
negative,'want_verb to learn_verb more_adverb trick_noun about your not_adverb check_verb out the latest_adjective user_noun tutorial_noun here_adverb not_adverb maker_noun geek_verb URL'
negative,'like user_noun da_noun fuck_noun be_verb this shit_noun URL'
positive,'delighted_adjective mr_noun jena_noun be_verb still_adverb one of our own_adjective we \'re_verb get_verb there_adverb boy_noun and girl_noun nffc'
positive,'georgetown_noun be_verb the move_noun tomorrow_noun HAPPYSMILEY'
positive,'USER you need_verb an user_noun s_noun with siri_noun'
negative,'totally_adverb unproductive_adjective day_noun with not_adverb access_noun to microsoft_adjective excel_noun or word_noun aargh_noun will be_verb work_verb late_adverb tonight_adverb after hubby_adjective fix_noun fingerscrossed_verb'
negative,'correction_noun user_noun buy_noun kudos_noun to chris_verb user_noun ranch_noun s_verb a tx_noun fix_verb issue_noun not_adverb resolve_verb after 1 2 day_noun w user_noun user_noun hero_noun of my day_noun'
positive,'yes we all know_verb indio_noun vs cv_noun be_verb tomorrow_adverb the bell_noun game_noun its enough_adverb'
positive,'mizzou_noun beat_verb kentucky_adjective 2 1 tigers_noun advance_noun to face_verb top_adjective seed_noun florida_noun in the semi_noun on friday_noun at 6 30 p_noun m_noun'
negative,'user_noun when you have_verb time_noun you should facetime_verb me so i can show_verb you your god_noun child_noun eggbabies_noun'
positive,'google_adjective samsung_adjective galaxy_noun nexus_adjective ic_noun press_noun release_noun be_verb now_adverb do_verb i \'ll go_verb back_adverb to my regular_adjective tweeting_noun interval_noun now_adverb HAPPYSMILEY_noun i want_verb it'
negative,'USER it be_verb predict_verb that the winter_noun classic_noun and the all star_noun game_noun will be_verb cancel_verb this upcoming_adjective monday_noun fuck_noun endthelockout_noun'
negative,'fabio_noun capello_noun russia_noun \'s head_noun coach_noun wish_verb not_adverb \'s injury_noun be_verb more_adverb serious_adjective russia_noun will play_verb against portugal_adjective tomorrow_noun in the wcq_noun'
negative,'lose_verb my ss_noun shirt_noun so i \'m_verb just_adverb gonna_verb wear_noun my old_adjective ss_noun jacket_noun tomorrow_noun instead_adverb b'
positive,'see_verb that be_verb why you bunt_noun with a runner_noun at nd_noun and nobody_noun out not_adverb matter_noun who the hitter_noun'
negative,'anyone_noun else_adverb have_verb trouble_noun with the i_noun pad_noun twitter_noun app_noun not_adverb update_verb user_noun i get_verb notify_verb but not_adverb see_verb them in the app_noun'
negative,'how to know_verb a shit_noun bar_noun you get_verb your arm_noun stamp_verb if u wake_verb up tomorrow_noun with print_noun on your arm_noun your_verb a twat_noun'
