@relation Tweets

@attribute Class {positive,negative}
@attribute Text STRING

@data
positive,'@twitter ceo points to @apple as \'corporate mentor\' as @ios signups triple http://t.co/gcy8iphn'
positive,'paper finished  cma\'s over  blake and miranda dominated  accounting hw got pushed to wednesday. going to bed happy :)'
positive,'one ticket left for the @49ers game tomorrow! don\'t miss the rematch of the nfc championship game against the ny giants! hit me up!'
positive,'nothing like watching the vow on a friday night. cheers to cancelled plans and sickness'
negative,'pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the cli i use those keys often'
positive,'love #ios5 easter eggs. pull down from middle top to bottom and see what pulls down. awesome little feature! @apple #lovemyiphone'
negative,'if you are a family member  friend  or fan of austin rivers you may want to unfollow me. this is about to get ugly.'
positive,'safe and sound on 57th and 11th...hoping that they clean up sandy quickly for those that were in her path. love you all!'
positive,'goodnight bots! tomorrow remember 106 & park  mobo twitter chat  and david letterman with @ritaora! good day for the bots!'
negative,'#microsoft update is so slow  :(( http://t.co/37ighgic'
negative,'thursday just aren\'t as exciting now waterloo road has stopped'
positive,'mad props to the @apple employee that didn\'t charge me to replace the back plate on my iphone! made my day!'
positive,'daniels good-humored on comedy show: indiana gov. mitch daniels was a good sport thursday when he appeared on t... http://bit.ly/xewbfu '
positive,'now all @apple has to do is get swype on the iphone and it will be crack. iphone that is'
negative,'rt @mikeferri: if @apple doesn\'t fix ios5 this week  i\'m buying a droid #emptythreats'
negative,'@apple you can suck it you and your fucking iphones better be glad it\'s all i like cause the service is fucking terrible'
positive,'eric arc elliott may be the best rapper in flatbush zombies.'
negative,'giants 3rd-round pick failed drug test at nfl combine: jayron holsey knew it would hurt him bec... http://bit.ly/jh1hcm  #newyork #sports'
negative,'apple can\'t innovate or manage supply chain: cupertino  ca - october 04: apple ceo tim cook speaks at the event introducing the new i...'
negative,'ohh i thought you said im who you want 5th text@lyl_bro: @_nenejackson @getmoneya1 it\'s just twitter & why you lurking *4th tweet'
positive,'patrick roy\'s last game as a canadien is one of the selections for this weekend\'s hnic rewind.'
positive,'ice cream sandwich u r really delicious can ditch iphone for u that\'s for sure. #google launches #android4 aka #icecreamsandwich :)'
negative,'protest against the mitch daniels purdue presidential nomination tomorrow @ loeb theater 2:30 pm. bring a friend! #soapurdue'
positive,'wow. great deals on refurbed #ipad (first gen) models. rt: apple offers great deals on refurbished 1st-gen ipads http://t.co/ukwokbgd @apple'
negative,'i wish the apple updater would stop trying to ram itunes down my throat. i don\'t own a pissing iphone @apple'
positive,'microsoft explains new improvements in windows 8 start screen search: http://t.co/cxovk5ww #buildingwindows8 @buildwindows8 #tech #microsoft'
negative,'why is #google whoring for samsung? #ics'
positive,'another beauty of a day in athens  greece. i trust you\'ll have an exceptional friday wherever in the world you are. much love.'
negative,'rt @sander_koers: #google apps vs. #microsoft #office 365: it is clear that google apps should be the top choice http://t.co/oyszmjvi #in'
positive,'come out and have some laughs with me  spartacus  and max at caroline\'s comedy club this wednesday october 24th!... http://fb.me/1xmd58sws '
positive,'just seen a taste of #google\'s ice cream sandwich  now i want a bite'
negative,'damn you !!! @apple'
positive,'soul train oct 27 halloween special ft t.dot finest rocking the mic...crazy cactus night club ..adv ticket $10 wt out costume $15...'
positive,'mmmm ice cream sandwich #android #google'
positive,'@ap i hope they make sure to take care of eli manning  giants vs pittsburgh on sunday #nfl'
negative,'#microsoft #outlook #2011 for #mac #sucks… #hate'
negative,'the glass may be rising  but it\'s not getting any warmer here  lago del desierto  argentina http://tmblr.co/zdr5kwwqchr0 '
negative,'rt @roycind: face unlock ! #ics literally knows your face! #google #galaxynexus failed !'
negative,'@cletisstump all inmates settled for the night ... warden emotionally drained ... needs big hug and tucking in for the night'
negative,'@o0touch0o we dont care about carling cup! save it for #looserpool! yeah we lose also i wont be crying all night long on wednesday night!'
negative,'nokia employees still worried that elop is a microsoft mole http://t.co/n4cpu3vj #microsoft #windows'
negative,'ruby can\'t even take me to breakfast tomorrow :/ he dropped harold washington .'
negative,'so aston villa have a must win game against norwich city tomorrow lunchtime. must win - how the mighty have fallen.'
negative,'how #apple eclipsed #microsoft. http://t.co/wu9bfi1h'
positive,'i cut 6th period just so kevin didnt have to be in art by himself  im such a good friend!'
negative,'awww hell. it was a black cop that shot the white student at south alabama. let\'s all go march naked in mobile for trayvon. i mean gil.'
positive,'other than lemon tea&lemonade. coke &pepsi are my 2nd favorites. as unhealthy they are  i cant/wont stop drinking them they\'re just so good'
positive,'@apple ios 5 is sweet! notifications  phone search covers mail now  wifi sync  icloud backup and integrated twitter are all well done.'
positive,'yumyumyum...i want ice cream sandwich... #google #android'
negative,'http://goo.gl/lkoce  visit to #iran by five euro mps was called off sat after tehran refused to let them meet with a jailed activist'
positive,'rehearsal wedding for my cuz @chico_a_dusty83 going on at pro bowl... big day is tomorrow!'
negative,'@brianmincey @apple the chipsets tear through battery life. coworker has a htc thunderbolt that he gets about 3 hours of life.'
negative,'rt @businessuplift: why #facebook and #google have got it wrong http://t.co/pdbf7h3f'
positive,'happy valentines day <3 !!.....yes  in brazil  it is celebrated on june 12. your mind = blown !'
positive,'i am crazy about #ios5 . the photo cropping is the best! @apple'
negative,'staying in tahrir sq. was \'infringing on others\' rights\' by denying them to go to work. u didn\'t leave  did u? #occupyauc #aucstrike (1/2)'
positive,'good god the camera app in icecream sandwich is amazing.. and that camera is fast!  #samsung #google #android #galaxynexus'
negative,'rdm seriously believes last night proves sunday\'s defeat was unjust? if anything  i\'m surprised our first xi didn\'t twat you on sunday.'
negative,'they may have a superbowl in dallas  but dallas ain\'t winning a superbowl. not with that quarterback and owner. @s4nyc @rasmussenpoll'
positive,'when 30 seconds to mars and mcr are dead and gone  i will kill myself because there will be no use for me on this earth.'
positive,'another gem from #microsoft - curate your personal history with  project greenwich.  available later this month. http://t.co/kgnrbvgp'
negative,'#pakistan#news procter and gamble sales fall 6.7 \%: p&g said net earnings in the quarter to september 30 fell to... http://bit.ly/viiigy '
negative,'what was @apple thinking making #siri totally dependent on a network connection? siri + @att = utter frustration.'
negative,'#twitter y #facebook off'
negative,'from it\'s laughable file: #google will #encrypt #search results but only if u have logged in so they can maximize their #data #collection!'
positive,'@purpleendorphin: i want tang jun for christmas. i want him on valentines as well!!!'
positive,'cried for every episode of dream high 2 starting from episode 13!!! t-t tomorrow i shall watch the last and final episode!'
positive,'may your life one day be as awesome as you pretend it is on facebook- will ferrell'
positive,'@kvaldez10 kaaaaarrraaa... =))'
positive,'rt @mattyriesz: @kathrynyee you were right  an iphone is a must have. #addicted {welcome to the @apple club}'
negative,'want to learn more tricks about your #arduino? check out the latest @mbanzi tutorial here #rsarduino #makers #geek - http://ow.ly/eveqr '
negative,'like @apple da fuck is this shit?  http://t.co/nb4dhlsg'
positive,'delighted mr jenas is still one of our own. we\'re getting there boys and girls. #nffc'
positive,'georgetown is the move tomorrow :)'
positive,'@rygurl you need an @apple iphone4s with siri!'
negative,'totally unproductive day with no access to #microsoft excel or word  aaargh! will be working late tonight after hubby fixes. #fingerscrossed'
negative,'correction: @ best buy kudos to chris @ alamo ranch s.a. tx-fixed issues couldn\'t resolve after 1/2 day w/ @att & @apple. hero of my day!'
positive,'yes we all know indio vs cv is tomorrow the bell game. its enough.!!'
positive,'mizzou beats kentucky 2-1! tigers advance to face top-seed florida in the semis on friday at 6:30 p.m.'
negative,'@nguyentran24 when you have time you should facetime me.. so i can show you your god children.. #eggbabies'
positive,'#google / #samsung #galaxy #nexus #ics press release is now done  i\'ll go back to my regular tweeting intervals now :) i want it!'
negative,'@steviey1 it is predicted that the winter classic and the all-star game will be cancelled this upcoming monday .. fuck !!! #endthelockout'
negative,'fabio capello (russia\'s head-coach) wishes cristiano\'s injury was more serious. (russia will play against portugal tomorrow in the wcq)'
negative,'lost my ss shirt  so i\'m just gonna wear my old ss jacket tomorrow instead ;b'
positive,'see? that is why you bunt with a runner at 2nd and nobody out. no matter who the hitter.'
negative,'anyone else having trouble with the (i)pad #twitter app not updating @\'s? i get notified but can\'t see them in the app.'
negative,'how to know a shit bar!.. you get your arm stamped! if u wake up tomorrow with prints on your arm your a twat!'
positive,'#cfc @juanmata10 is the best of the premier league! his overall ea sports player performance index score: 217. (1st place) #matamagic'
negative,'my @apple @macbook keyboard will not type :('
positive,'mmm... #smarterphone rt @android: introducing ice cream sandwich  the delicious new version of android: http://t.co/axl2k1gs #ics #google'
positive,'@thereidreport & if the potus wins 2nd term isn\'t that nj gov gonna go back to bashing him when his state is in better shape (2/2)'
positive,'thank you snow for cancelling classes today. now you may stop snowing  so that i can drive to chapel hill tomorrow. i\'d really appreciate it'
positive,'@benthepcguy only you can answer before i try! there\'s on wp8 a way to call 3rd p. apps? like intents on android. i wanna switch to wp!'
positive,'if you love to dance i hope to see you supporting this event. saturday. all info on the flyer! http://fb.me/mjbuqwej '
negative,'reading the sun and watching jeremy kyle. where did it all go wrong? better do some work. #ashamed'
negative,'i am very upset about and inconvenienced by this iphone update failed backup. @iphone @apple'
positive,'http://goo.gl/t658r  new #sexy comment about: theeuropeandream is available in indianapolis: friday-sunday!'
negative,'@jamesduffy01 of others...jenelle may have made mistakes but she has time to change and be a better person...its too late for you...fuckhead'
negative,'all this damn work i still haven\'t had the chance to call martin about these poems. i have to do it tomorrow'
negative,'hey @apple...i know steve jobs died & all but my twitter for ipad app keeps crashing...fix it...now..please..lol -f.light'
negative,'i never watch the oscars  but with seth macfarlane hosting  i may have to actively campaign to get other people to not watch them either.'
positive,'new galaxy nexus: os improvements -  data usage tools inbuilt #nexus #samsung #google #android bit.ly/nejbye'
negative,'wow  worst @apple customer service experience ever. arrogant and inept. bad combo  biltmore apple store.'
negative,'today  april 17th (palestinian prisoner\'s day)  is ironically the day israel claimed it would release khader adnan. no action yet.'
negative,'@apple thanks apple for ios 5 and losing all my contacts!'
positive,'wp7 is getting there: #microsoft claws back to smartphone relevance: rich jaroslovsky - bloomberg http://t.co/jimml4rc via @bloombergnews'
negative,'damn it @apple!! whatchu done to my phone??'
positive,'gotta have me a boyfriend by december that way he\'ll be good & mended by time valentine\'s day get here! lol! i need all that!!!'
positive,'#twitter i love you!'
negative,'@mashable @apple  iphones r 2 expensive. most went w/ htc/galaxy. no customer loyalty w/phone comp..'
positive,'one word - #wow. rt @jldavid iphone 4s first weekend sales top four million: http://t.co/zx5pw0gt (via @apple)'
positive,'from which companies do you experience the best customer service aside from @zappos and @apple?'
negative,'okc thunder center kendrick perkins may miss the preseason due to a wrist injury'
positive,'yay!!! we are front page on will ferrell\'s funny or die for the 24th time! check it out!... http://fb.me/2uvqlqrcc '
positive,'well we are very busy!!! i\'m just too excited for tomorrow! cebu here we go!'
positive,'i keep forgettin how much i really like #twitter lol'
negative,'@apple so i went to the 5th ave store and was told i could wait about 4 hours to get a 4s. needless to say i\'m back at the hotel relaxing.'
negative,'people talkin shit just wait i\'ll be in huntsville tomorrow !! let me see you !!'
positive,'so this saturday  fort canning with sweetheart(: okay can! yay!!'
positive,'there you go - according to http://t.co/4y8as4zz #google+ is builtin to the os/nexus line? smart move :)'
positive,'i just remembered \'niggas in paris\' is a song. delighted! what a saturday! #positivetroll'
positive,'we\'re one of a few featured education apps on the @apple **website** today  sweet! http://t.co/0ywvbe1z'
negative,'navi rabbit in for spay on tues and she\'s just had a phantom pregnancy. what timing. this means day of bunwatch and raspberry pi. no city :('
positive,'#icecreamsandwich went way and beyond what i expected. can\'t wait to get it on my nexus to play with! #google'
positive,'niggas in paris was playing in the waiting room at the clinic and this old lady sat tapping her walking stick and bobbing her head. so cute.'
positive,'is #google down? http://t.co/wfrzkysn via @ejunkie good for #bing  #microsoft ’s investments paying off'
positive,'west ham have scored eight times in andy carroll\'s three starts. he may not be scoring yet  but he\'s making it easier for others to score.'
negative,'been on hold with @apple customer service for 25 minutes. wow  lt\'s like they\'re #timewarnercable.'
negative,'ecuador worried about assange\'s health - ecuador says it is concerned about the health of the wikileaks founder  jul... http://ow.ly/2sqs5s '
positive,'brandon weeden is going to be a player someday. he\'s not right now - ron jaworski just now on sunday nfl countdown #countdowntokickoff'
negative,'when u dine with a customer u shoukd never explain abt solutions unless he ask   m$ never lean the concept #microsoft #fail'
positive,'october 17th - november 3rd  don\'t miss the company of fools performance of the woman in black!! http://fb.me/1tetiq89t '
positive,'tonight\'s the decider -- will i be at the garden friday night for knicks/heat game 6? here\'s hoping for a miracle...'
positive,'omg the #android 4.0 sdk is available now @ http://t.co/oeurmtlx!! #google'
positive,'who is richard wright? have man city signed an amateur footballer?'
negative,'with all benson\'s attention  frankie feels like a forgotten stepchild. lets \'founding father\' him so he know we will never forget 2nd place.'
negative,'post of the night: anonymous (id: excv6jkr) 11/02/12(fri)00:52:39 no.434329650 this thread is like watching a monkey fuck a coconut'
positive,'well at least the @apple store has amazing call waiting music! #need4s'
positive,'just apply for a job at @apple  hope they call me lol'
positive,'@strombo happy thursday! enjoyed the show so much last night watched 4x. #thankyoutimeshifting!! have a great day my greek!'
positive,'rt @bestpantsten: http://t.co/p4m8xvaz #ipads less desired than #windows tablets  says study #apple #microsoft #ms'
positive,'muse on jonathan ross brilliant. we have some exciting news about muse to announce monday from gotham records'
positive,'flight starring denzel washington was a good ass movie go see it tomorrow when it comes out'
negative,'only thing bad about the new @canon camera is that it has two compact flash cards... not one of sd. sd goes in my @apple computer. damn you!'
positive,'richie hawtin - monday night - buffalo town ballroom - don\'t miss it!'
positive,'i\'m so ready for ice cream sandwich! #ics #nexus #google #android #siriwho? http://t.co/cjonncvk @getglue #android'
negative,'i\'m so ready for ice cream sandwich! #ics #nexus #google #android #siriwho? http://t.co/cjonncvk @getglue #android'
positive,'egypt&#039;s president mohamed morsi on monday pardoned all those arrested between the start of the revolution t ... http://tf.to/a6fgu '
negative,'ouch  crash and burn. #android facial recognition in #icecreamsandwich didn\'t work during the presentation. http://t.co/6vsaszyt #google'
negative,'omg the music video comes out tomorrow! btw i still can\'t get over harry\'s voice :\') http://www.youtube.com/watch?v=6wbzr7zha0g&feature=youtube_gdata_player …'
negative,'why book @apple genius bar if after 2.5 hours you still can\'t be served. disappointing apple store sydney. #thanksfornothing'
negative,'we need dates! #google #samsung #launchfail'
positive,'i have the same birthday as both anderson cooper and nadal. june 3rd is an awesome day i guess!'
negative,'rt @jdougyj: hey @apple do you wanna fix my fucking playlist order  you piece of shit'
negative,'#tech apple ceo apologizes for error-ridden new map app - apple ceo tim cook apologized friday for the company&#039;... http://ow.ly/2spruc '
negative,'i did the best of everyone who failed - bill gate #microsoft'
positive,'dinner with my dad. and tony parker with a last second game winning shot. what a great night...just in time to be ruined by 300s tomorrow...'
positive,'so thankful for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged macbook pro!!! wow!'
positive,'the new android #nexus phone makes the #iphone look like a cheap toy at dollar store! #tcot #android #google #realestate @burkepatch'
positive,'if the steelers play as good as they did sunday i say keep the bee uniforms on all the way to the superbowl #steelers'
positive,'@ollyofficial have you filmed jonathan ross yet??? can\'t wait to see it on sat! :) xxx'
positive,'slick beam capabilities included in android 4.0. touch 2 devices together and select beam and content is transferred #google #android #ics'
negative,'you know what  i dont give a shit about tomorrow yolo'
positive,'i\'m excited for trunk or treat tomorrow (nov 2) night at the boys and girls club in pottstown. it will start at... http://fb.me/1n0us0hgd '
positive,'wish i could make that trip to athens on tuesday @icaptainmorgan'
negative,'unmindful ballmer  collects half a billion  doesn\'t say thank you.  http://t.co/lwtpxejo #android #google #microsoft'
positive,'1. noel fielding comedy gala tonight :) 2. work all day tomorrow 3. granny smith festival that night'
positive,'rt @treyhob21: #twitter gives everyone that voice that they believe should be heard by people... unlike real life... lol'
positive,'mango shows #microsoft still has the taste for smartphone success http://t.co/afm8vsmm  #wp7 #mango'
negative,'new #halo4 gameplay trailer: http://bit.ly/uczr9z  #anancientevilawakens'
positive,'yessss! i\'m lovin the iphone update especially the slide down bar at top of screen =) good job @apple.'
positive,'[greader share] five reasons why google is winning the war in photosharing  http://t.co/coqclb9r - #photography #fotografia #google+'
positive,'northern lights sale on thursday; great pedigrees all the way through the catalogue! genomics the full packages! view catalogue online!'
negative,'niggas was really on some 10th grade shit tonight'
negative,'centre for social justice report on gangs - one year after the riots. http://www.centreforsocialjustice.org.uk/client/images/gangs\%20report.pdf … #d policy may have exacerbated problems.'
negative,'happy valentine\'s day is trending? ?? but... it\'s not even february?'
negative,'it\'s fucking friday! so it\'s only right to bump friday by flatbush zombies at ignorant levels'
positive,'beautiful morning in wales clear clod and frosty if it wasn\'t for the 1000ft 30kts wind i would be flying #bitfastthat'
positive,'#google #galaxynexus #icecream great'
negative,'i miss my bestfriend octaveia  my cousin  april .. my bestie kaliyah  tricey  dasia mikia & the other people i miss with at richwood !!'
negative,'it would be great if @apple would send my new phone. #frustrated'
positive,'rt @ahhfuckitsguss: #twitter can be so useful on letting out your feeling when you cant in the real world .'
positive,'@chemicaljericho @xcescacenax yeah  yeah  your armor is better in every way  and your lariats are better than mine too. =p'
negative,'not here in the east:( though...moon  jupiter  capella light up evening sky on november 1 | tonight | earthsky http://earthsky.org/tonight/moon-jupiter-capella-light-evening-sky-on-november-1 …'
negative,'back to norwich city tomorrow to do loads more shopping as we couldn\'t fit it all in on monday... #shopping #norwich #addicted'
positive,'i cannot wait for a new #ics phone!!! #google #android'
negative,'@apple is there a problem with ios 5 that is preventing audio apps and audio functions from operating properly? i keep losing sound.'
negative,'#twitter are you freaking kidding me #wth... http://t.co/zkn2bu5r'
negative,'@apple - #siri is not working due to network problem? seriously? can you fix this? #iphone4s #fail'
negative,'has been on terminal hold with @apple support!  she must not be the only person having trouble with the new iphone and synching!'
positive,'someday i\'ll have a party and that party\'ll be named angelo\'s 18th yes after 2 more years. i just turned sixteen and i\'m a college student'
negative,'c\'mon... don\'t play with the winans!!!'
negative,'ok.. going down to melaka tomorrow morning  with two others.. visiting fren in icu. :('
negative,'i will never purchase another @apple product for the rest of my life. i am glad steve jobs is fucking dead. may you fucking rot in hell!!!!!'
negative,'it\'s ages since i had kfc  well apart from the mush in a bun that passed as breakfast last sunday  that doesn\'t count though'
negative,'@guildwars2 c\'mon guys fix this please  i dont want this to end up how diablo iii did....... :.('
negative,'with #windows 8  #microsoft can\'t forget past antitrust issues http://t.co/z4jwlqvu'
negative,'friday\'s cnet update is playing one republic : apple ceo says sorry for ios 6 map mess apple ceo tim cook has said he was extremely sorry'
positive,'#microsoft #research shows #holodesk. awesome!!! the holodeck is one step closer! bit.ly/pcmjon #kinect /via @dvroegop'
positive,'raise your hand if you now want an #android4 #icecreamsandwich powered #galaxynexus phone! #google #samsung'
negative,'i keep thinking about the fact that mmg will be in lexington on saturday and i won\'t be there:((((('
